Nome/Dono;"	URL";"	Linguagem Primária";"	Nº de Estrelas";"	Nº de Watchers";"	Nº de Forks";"	Nº de Releases";"	Data de Criação"
python/mypy;"	https://github.com/python/mypy";"	Python";"	8067";"	176";"	1221";"	0";"	2012-12-07T13:30:23Z"
gvanrossum/ballot-box;"	https://github.com/gvanrossum/ballot-box";"	Python";"	8";"	2";"	4";"	0";"	2015-03-13T23:41:12Z"
fake-python/cpython;"	https://github.com/fake-python/cpython";"	Python";"	3";"	1";"	0";"	6";"	2015-11-05T12:07:26Z"
edreamleo/make-stub-files;"	https://github.com/edreamleo/make-stub-files";"	Python";"	20";"	3";"	3";"	0";"	2016-01-26T16:54:22Z"
ilevkivskyi/com2ann;"	https://github.com/ilevkivskyi/com2ann";"	Python";"	50";"	6";"	1";"	0";"	2016-09-09T07:17:02Z"
neogeny/TatSu;"	https://github.com/neogeny/TatSu";"	Python";"	146";"	13";"	34";"	13";"	2017-05-02T02:58:58Z"
gvanrossum/mypy-dummy;"	https://github.com/gvanrossum/mypy-dummy";"	Python";"	6";"	2";"	0";"	0";"	2017-08-31T16:42:53Z"
gvanrossum/pep550;"	https://github.com/gvanrossum/pep550";"	Python";"	7";"	3";"	1";"	0";"	2017-09-05T21:59:49Z"
python/mypy_extensions;"	https://github.com/python/mypy_extensions";"	Python";"	68";"	13";"	12";"	0";"	2019-01-14T23:37:26Z"
gvanrossum/pegen;"	https://github.com/gvanrossum/pegen";"	Python";"	145";"	17";"	19";"	0";"	2019-05-07T16:43:15Z"
gvanrossum/guidos_time_machine;"	https://github.com/gvanrossum/guidos_time_machine";"	Python";"	49";"	10";"	2";"	0";"	2020-03-05T04:06:18Z"
;;;;;;;
Baseline;;;;;;;
Popularidade;;;Tamanho;Atividade;;Maturidade;
Nº de Estrelas;Nº de Watchers;Nº de Forks;LOC;Nº de Releases;Releases/Dias;Idade (em anos);
49;6;3;798;0;0;3;
